fire_enabled,exit_preset,num_exits,leader_proportion,num_leaders,run,seed,total_time,simulation_steps,computation_time,timeout,evacuated,evacuation_rate,remaining_agents,overall_flow_rate,leaders_evacuated,leaders_remaining,leader_evacuation_rate,leader_flow_rate,injured_total,injured_rate,injured_fire,injured_smoke,injured_pressure,exit0_usage,exit1_usage,exit2_usage,exit_balance
False,center_right,1,0.0,0,0,1001,100.0,1000,6.030495,True,47,0.94,3,0.47,0,0,1.0,0.0,2,0.04,0,0,2,47,0,0,0.0
False,center_right,1,0.0,0,1,1002,100.0,1000,9.016089,True,43,0.86,7,0.43,0,0,1.0,0.0,0,0.0,0,0,0,43,0,0,0.0
False,center_right,1,0.0,0,2,1003,100.0,1000,6.048988,True,41,0.82,9,0.41,0,0,1.0,0.0,6,0.12,0,0,6,41,0,0,0.0
False,center_right,1,0.0,0,3,1004,100.0,1000,9.647133,True,30,0.6,20,0.3,0,0,1.0,0.0,11,0.22,0,0,11,30,0,0,0.0
False,center_right,1,0.0,0,4,1005,100.0,1000,11.373721,True,34,0.68,16,0.34,0,0,1.0,0.0,7,0.14,0,0,7,34,0,0,0.0
False,center_right,1,0.0,0,5,1006,100.0,1000,9.366972,True,37,0.74,13,0.37,0,0,1.0,0.0,7,0.14,0,0,7,37,0,0,0.0
False,center_right,1,0.0,0,6,1007,100.0,1000,7.123107,True,44,0.88,6,0.44,0,0,1.0,0.0,3,0.06,0,0,3,44,0,0,0.0
False,center_right,1,0.0,0,7,1008,100.0,1000,6.689157,True,43,0.86,7,0.43,0,0,1.0,0.0,4,0.08,0,0,4,43,0,0,0.0
False,center_right,1,0.0,0,8,1009,100.0,1000,9.802822,True,33,0.66,17,0.33,0,0,1.0,0.0,8,0.16,0,0,8,33,0,0,0.0
False,center_right,1,0.0,0,9,1010,100.0,1000,7.768511,True,37,0.74,13,0.37,0,0,1.0,0.0,4,0.08,0,0,4,37,0,0,0.0
False,center_right,1,0.02,1,0,1011,100.0,1000,4.85787,True,41,0.82,9,0.41,0,1,0.0,0.0,7,0.14,0,0,7,41,0,0,0.0
False,center_right,1,0.02,1,1,1012,100.0,1000,4.895231,True,40,0.8,10,0.4,1,0,1.0,0.01,9,0.18,0,0,9,40,0,0,0.0
False,center_right,1,0.02,1,2,1013,100.0,1000,10.103008,True,30,0.6,20,0.3,0,1,0.0,0.0,15,0.3,0,0,15,30,0,0,0.0
False,center_right,1,0.02,1,3,1014,100.0,1000,7.678134,True,46,0.92,4,0.46,1,0,1.0,0.01,0,0.0,0,0,0,46,0,0,0.0
False,center_right,1,0.02,1,4,1015,100.0,1000,5.14536,True,38,0.76,12,0.38,1,0,1.0,0.01,10,0.2,0,0,10,38,0,0,0.0
False,center_right,1,0.02,1,5,1016,79.5,795,8.283456,False,42,0.84,8,0.5283018867924528,1,0,1.0,0.012578616352201259,8,0.16,0,0,8,42,0,0,0.0
False,center_right,1,0.02,1,6,1017,100.0,1000,25.446167,True,43,0.86,7,0.43,0,1,0.0,0.0,2,0.04,0,0,2,43,0,0,0.0
False,center_right,1,0.02,1,7,1018,86.2,862,6.535712,False,48,0.96,2,0.5568445475638051,1,0,1.0,0.01160092807424594,2,0.04,0,0,2,48,0,0,0.0
False,center_right,1,0.02,1,8,1019,100.0,1000,5.7803,True,48,0.96,2,0.48,1,0,1.0,0.01,1,0.02,0,0,1,48,0,0,0.0
False,center_right,1,0.02,1,9,1020,100.0,1000,24.689051,True,39,0.78,11,0.39,1,0,1.0,0.01,7,0.14,0,0,7,39,0,0,0.0
False,center_right,1,0.06,3,0,1021,100.0,1000,13.83361,True,31,0.62,19,0.31,1,2,0.3333333333333333,0.01,11,0.22,0,0,11,31,0,0,0.0
False,center_right,1,0.06,3,1,1022,100.0,1000,12.09654,True,38,0.76,12,0.38,3,0,1.0,0.03,9,0.18,0,0,9,38,0,0,0.0
False,center_right,1,0.06,3,2,1023,72.10000000000001,721,4.706721,False,47,0.94,3,0.6518723994452149,3,0,1.0,0.041608876560332866,3,0.06,0,0,3,47,0,0,0.0
False,center_right,1,0.06,3,3,1024,49.6,496,4.198228,False,44,0.88,6,0.8870967741935484,3,0,1.0,0.06048387096774193,6,0.12,0,0,6,44,0,0,0.0
False,center_right,1,0.06,3,4,1025,33.9,339,3.246353,False,50,1.0,0,1.4749262536873158,3,0,1.0,0.08849557522123894,0,0.0,0,0,0,50,0,0,0.0
False,center_right,1,0.06,3,5,1026,100.0,1000,18.742923,True,17,0.34,33,0.17,1,2,0.3333333333333333,0.01,11,0.22,0,0,11,17,0,0,0.0
False,center_right,1,0.06,3,6,1027,29.1,291,2.992034,False,50,1.0,0,1.7182130584192439,3,0,1.0,0.10309278350515463,0,0.0,0,0,0,50,0,0,0.0
False,center_right,1,0.06,3,7,1028,100.0,1000,5.09411,True,43,0.86,7,0.43,2,1,0.6666666666666666,0.02,5,0.1,0,0,5,43,0,0,0.0
False,center_right,1,0.06,3,8,1029,100.0,1000,5.225004,True,44,0.88,6,0.44,3,0,1.0,0.03,3,0.06,0,0,3,44,0,0,0.0
False,center_right,1,0.06,3,9,1030,100.0,1000,4.391451,True,45,0.9,5,0.45,3,0,1.0,0.03,4,0.08,0,0,4,45,0,0,0.0
False,center_right,1,0.1,5,0,1031,40.300000000000004,403,4.012127,False,49,0.98,1,1.215880893300248,5,0,1.0,0.12406947890818858,1,0.02,0,0,1,49,0,0,0.0
False,center_right,1,0.1,5,1,1032,100.0,1000,8.033181,True,34,0.68,16,0.34,3,2,0.6,0.03,11,0.22,0,0,11,34,0,0,0.0
False,center_right,1,0.1,5,2,1033,28.900000000000002,289,3.421549,False,50,1.0,0,1.7301038062283736,5,0,1.0,0.17301038062283736,0,0.0,0,0,0,50,0,0,0.0
False,center_right,1,0.1,5,3,1034,100.0,1000,8.297529,True,32,0.64,18,0.32,1,4,0.2,0.01,8,0.16,0,0,8,32,0,0,0.0
False,center_right,1,0.1,5,4,1035,100.0,1000,11.894679,True,27,0.54,23,0.27,1,4,0.2,0.01,12,0.24,0,0,12,27,0,0,0.0
False,center_right,1,0.1,5,5,1036,100.0,1000,18.369534,True,17,0.34,33,0.17,2,3,0.4,0.02,15,0.3,0,0,15,17,0,0,0.0
False,center_right,1,0.1,5,6,1037,100.0,1000,6.493356,True,37,0.74,13,0.37,2,3,0.4,0.02,8,0.16,0,0,8,37,0,0,0.0
False,center_right,1,0.1,5,7,1038,41.300000000000004,413,15.575296,False,50,1.0,0,1.2106537530266344,5,0,1.0,0.12106537530266342,0,0.0,0,0,0,50,0,0,0.0
False,center_right,1,0.1,5,8,1039,100.0,1000,16.058832,True,49,0.98,1,0.49,5,0,1.0,0.05,0,0.0,0,0,0,49,0,0,0.0
False,center_right,1,0.1,5,9,1040,100.0,1000,45.663416,True,16,0.32,34,0.16,2,3,0.4,0.02,8,0.16,0,0,8,16,0,0,0.0
False,center_right,1,0.2,10,0,1041,100.0,1000,6.199506,True,41,0.82,9,0.41,6,4,0.6,0.06,5,0.1,0,0,5,41,0,0,0.0
False,center_right,1,0.2,10,1,1042,100.0,1000,22.837801,True,10,0.2,40,0.1,2,8,0.2,0.02,17,0.34,0,0,17,10,0,0,0.0
False,center_right,1,0.2,10,2,1043,35.800000000000004,358,4.187095,False,49,0.98,1,1.3687150837988826,10,0,1.0,0.27932960893854747,1,0.02,0,0,1,49,0,0,0.0
False,center_right,1,0.2,10,3,1044,100.0,1000,19.891847,True,12,0.24,38,0.12,3,7,0.3,0.03,17,0.34,0,0,17,12,0,0,0.0
False,center_right,1,0.2,10,4,1045,100.0,1000,10.679194,True,28,0.56,22,0.28,4,6,0.4,0.04,10,0.2,0,0,10,28,0,0,0.0
False,center_right,1,0.2,10,5,1046,38.1,381,3.804646,False,50,1.0,0,1.3123359580052494,10,0,1.0,0.26246719160104987,0,0.0,0,0,0,50,0,0,0.0
False,center_right,1,0.2,10,6,1047,95.2,952,4.506796,False,49,0.98,1,0.5147058823529411,10,0,1.0,0.10504201680672269,1,0.02,0,0,1,49,0,0,0.0
False,center_right,1,0.2,10,7,1048,100.0,1000,6.158091,True,43,0.86,7,0.43,6,4,0.6,0.06,5,0.1,0,0,5,43,0,0,0.0
False,center_right,1,0.2,10,8,1049,100.0,1000,5.197482,True,46,0.92,4,0.46,8,2,0.8,0.08,2,0.04,0,0,2,46,0,0,0.0
False,center_right,1,0.2,10,9,1050,52.7,527,5.490344,False,43,0.86,7,0.8159392789373814,9,1,0.9,0.17077798861480076,7,0.14,0,0,7,43,0,0,0.0
False,two_exits,2,0.0,0,0,1051,74.2,742,3.049313,False,50,1.0,0,0.6738544474393531,0,0,1.0,0.0,0,0.0,0,0,0,29,21,0,4.0
False,two_exits,2,0.0,0,1,1052,100.0,1000,3.590765,True,49,0.98,1,0.49,0,0,1.0,0.0,0,0.0,0,0,0,31,18,0,6.5
False,two_exits,2,0.0,0,2,1053,57.7,577,2.720927,False,50,1.0,0,0.8665511265164644,0,0,1.0,0.0,0,0.0,0,0,0,21,29,0,4.0
False,two_exits,2,0.0,0,3,1054,100.0,1000,12.625319,True,31,0.62,19,0.31,0,0,1.0,0.0,7,0.14,0,0,7,23,8,0,7.5
False,two_exits,2,0.0,0,4,1055,58.1,581,3.173656,False,50,1.0,0,0.8605851979345955,0,0,1.0,0.0,0,0.0,0,0,0,20,30,0,5.0
