v0,run,total_time,evacuated,injured,evacuation_rate,flow_rate,simulation_steps,computation_time,final_agents_remaining,timeout
0.5,0,100.0,35,0,0.7,0.35,1000,15.458723,15,True
0.5,1,100.0,33,2,0.66,0.33,1000,13.486881,17,True
0.5,2,100.0,40,0,0.8,0.4,1000,13.797859,10,True
1.0,0,55.300000000000004,50,0,1.0,0.9041591320072332,553,5.785938,0,False
1.0,1,39.800000000000004,50,0,1.0,1.2562814070351758,398,5.193367,0,False
1.0,2,47.800000000000004,49,1,0.98,1.0251046025104602,478,5.806253,1,False
1.5,0,100.0,5,5,0.1,0.05,1000,31.562411,45,True
1.5,1,25.200000000000003,47,3,0.94,1.865079365079365,252,3.448196,3,False
1.5,2,100.0,20,2,0.4,0.2,1000,14.383537,30,True
2.0,0,100.0,3,12,0.06,0.03,1000,32.46861,47,True
2.0,1,100.0,13,15,0.26,0.13,1000,16.687845,37,True
2.0,2,100.0,36,10,0.72,0.36,1000,6.313656,14,True
2.5,0,100.0,8,19,0.16,0.08,1000,23.191989,42,True
2.5,1,100.0,18,21,0.36,0.18,1000,11.123573,32,True
2.5,2,100.0,2,22,0.04,0.02,1000,27.958159,48,True
3.0,0,100.0,14,30,0.28,0.14,1000,13.015556,36,True
3.0,1,100.0,1,29,0.02,0.01,1000,25.292039,49,True
3.0,2,100.0,9,31,0.18,0.09,1000,18.255823,41,True
3.5,0,100.0,9,37,0.18,0.09,1000,13.534949,41,True
3.5,1,100.0,15,31,0.3,0.15,1000,10.68553,35,True
3.5,2,100.0,5,38,0.1,0.05,1000,18.306945,45,True
4.0,0,100.0,2,42,0.04,0.02,1000,20.553217,48,True
4.0,1,100.0,4,42,0.08,0.04,1000,16.360376,46,True
4.0,2,100.0,5,40,0.1,0.05,1000,17.254414,45,True
4.5,0,100.0,2,45,0.04,0.02,1000,19.295374,48,True
4.5,1,100.0,8,40,0.16,0.08,1000,14.05209,42,True
4.5,2,100.0,1,48,0.02,0.01,1000,21.815055,49,True
5.0,0,100.0,3,45,0.06,0.03,1000,19.977498,47,True
5.0,1,3.4000000000000004,8,42,0.16,2.352941176470588,34,1.037048,42,False
5.0,2,100.0,2,47,0.04,0.02,1000,20.331419,48,True
5.5,0,100.0,7,42,0.14,0.07,1000,24.019825,43,True
5.5,1,100.0,0,49,0.0,0.0,1000,79.541323,50,True
5.5,2,2.9000000000000004,3,47,0.06,1.0344827586206895,29,3.483573,47,False
6.0,0,2.6,2,48,0.04,0.7692307692307692,26,3.620058,48,False
6.0,1,100.0,9,40,0.18,0.09,1000,57.264604,41,True
6.0,2,2.7,3,47,0.06,1.111111111111111,27,0.932259,47,False
6.5,0,100.0,2,47,0.04,0.02,1000,26.220401,48,True
6.5,1,2.7,4,46,0.08,1.4814814814814814,27,0.894433,46,False
6.5,2,2.5,1,49,0.02,0.4,25,0.817256,49,False
7.0,0,2.2,5,45,0.1,2.2727272727272725,22,0.685434,45,False
7.0,1,100.0,6,43,0.12,0.06,1000,16.836711,44,True
7.0,2,2.3000000000000003,5,45,0.1,2.1739130434782608,23,0.741113,45,False
7.5,0,2.2,2,48,0.04,0.9090909090909091,22,0.727135,48,False
7.5,1,2.3000000000000003,5,45,0.1,2.1739130434782608,23,0.77037,45,False
7.5,2,2.3000000000000003,1,49,0.02,0.4347826086956521,23,0.77771,49,False
8.0,0,2.1,0,50,0.0,0.0,21,0.687503,50,False
8.0,1,2.1,0,50,0.0,0.0,21,0.737702,50,False
8.0,2,2.2,2,48,0.04,0.9090909090909091,22,0.695277,48,False
8.5,0,2.0,3,47,0.06,1.5,20,0.698568,47,False
8.5,1,2.1,1,49,0.02,0.47619047619047616,21,0.800389,49,False
8.5,2,2.1,3,47,0.06,1.4285714285714286,21,0.597448,47,False
9.0,0,1.9000000000000001,4,46,0.08,2.1052631578947367,19,0.597232,46,False
9.0,1,2.0,4,46,0.08,2.0,20,0.663694,46,False
9.0,2,2.2,2,48,0.04,0.9090909090909091,22,0.747793,48,False
9.5,0,1.9000000000000001,9,41,0.18,4.7368421052631575,19,0.529867,41,False
9.5,1,1.9000000000000001,4,46,0.08,2.1052631578947367,19,0.606873,46,False
9.5,2,1.8,3,47,0.06,1.6666666666666665,18,0.637626,47,False
10.0,0,100.0,6,43,0.12,0.06,1000,12.905911,44,True
10.0,1,1.9000000000000001,5,45,0.1,2.631578947368421,19,0.628283,45,False
10.0,2,1.8,3,47,0.06,1.6666666666666665,18,0.513768,47,False
